tick,target_weapon_melee,target_weapon_mage,target_weapon_ranged,target_melee_atk_bonus,target_magic_atk_bonus,target_ranged_atk_bonus,target_melee_str_bonus,target_magic_str_bonus,target_ranged_str_bonus,target_distance,target_frozen_ticks,target_attack_cycle_ticks,target_special_percent,target_just_attacked,target_has_magic_spec_weapon,target_equipped_weapon_spec_cost,player_hp_pct,actual_attack_style
--- NEW FIGHT STARTED @ 2026-04-20 20:38:45 ---
tick,target_weapon_melee,target_weapon_mage,target_weapon_ranged,target_melee_atk_bonus,target_magic_atk_bonus,target_ranged_atk_bonus,target_melee_str_bonus,target_magic_str_bonus,target_ranged_str_bonus,target_distance,target_frozen_ticks,target_attack_cycle_ticks,target_special_percent,target_just_attacked,target_has_magic_spec_weapon,target_equipped_weapon_spec_cost,player_hp_pct,actual_attack_style
36,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,1.0,4.0,100.0,1.0,0,75.0,0.6969696879386902,3.0
37,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,0.0,3.0,100.0,0.0,0,75.0,0.6969696879386902,3.0
38,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0,75.0,0.6969696879386902,3.0
39,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,0.0,1.0,100.0,0.0,0,75.0,0.6969696879386902,3.0
40,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0,75.0,0.6969696879386902,3.0
41,1.0,0.0,0.0,128.0,-22.0,48.0,116.0,0.0,0.0,1.0,0.0,3.0,50.0,1.0,1,50.0,0.6969696879386902,2.0
42,1.0,0.0,0.0,128.0,-22.0,48.0,116.0,0.0,0.0,1.0,0.0,2.0,50.0,0.0,1,50.0,0.1818181872367859,2.0
43,1.0,0.0,0.0,128.0,-22.0,48.0,116.0,0.0,0.0,1.0,0.0,1.0,50.0,0.0,1,50.0,0.4040403962135315,2.0
44,1.0,0.0,0.0,128.0,-22.0,48.0,116.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,1,50.0,0.4040403962135315,2.0
45,0.0,1.0,0.0,82.0,116.0,0.0,84.0,31.0,0.0,1.0,0.0,4.0,50.0,1.0,1,0.0,0.4040403962135315,2.0
46,0.0,1.0,0.0,82.0,116.0,0.0,84.0,31.0,0.0,0.0,0.0,3.0,50.0,0.0,1,0.0,0.6262626051902771,2.0
